pop	ID	long_stamen_length	short_stamen_length	pistil_length	nectary_area_1	nectary_area_2
129	129-067A	26.160	21.456	26.553	1.879	1.665
129	129-067B	26.021	22.629	26.640	1.429	1.619
129	129-064A	25.550	22.033	25.718	1.336	1.255
129	129-064B	25.654	22.068	26.326	1.343	1.370
129	129-080A	NA	NA	NA	NA	NA
129	129-080B	26.228	22.291	26.035	1.099	1.163
129	129-065A	22.833	19.836	23.741	1.208	1.426
129	129-065B	21.391	19.006	21.809	1.355	NA
129	129-053A	27.638	23.780	27.593	2.055	1.886
129	129-053B	26.012	22.650	26.920	1.611	1.322
129	129-074A	28.557	25.430	28.378	1.925	1.344
129	129-074B	27.580	24.899	27.916	1.312	1.146
129	129-069A	26.151	22.766	27.746	1.343	1.308
129	129-069B	26.566	22.773	26.353	1.451	1.439
129	129-068A	25.719	22.598	26.625	1.870	1.810
129	129-068B	26.193	22.246	25.145	1.689	1.660
129	129-073A	25.595	22.264	28.289	1.562	1.252
129	129-073B	25.651	22.515	27.397	1.033	1.377
129	129-052A	25.574	23.967	28.551	2.257	NA
129	129-052B	24.920	23.553	28.636	2.419	1.998
129	129-054A	25.692	23.211	25.969	1.657	1.490
129	129-054B	26.317	23.332	26.998	2.023	1.634
129	129-056A	25.935	22.985	26.971	2.251	1.663
129	129-060A	27.241	24.722	28.285	0.950	0.982
129	129-060B	26.836	24.758	27.722	1.407	0.964
129	129-076A	21.077	17.621	24.104	1.034	0.897
129	129-076B	21.867	18.153	24.407	1.345	1.282
129	129-077A	27.568	24.178	30.313	2.068	1.676
129	129-077B	26.467	24.957	28.130	1.869	2.010
129	129-066A	25.765	22.356	25.954	0.815	0.874
129	129-066B	27.011	23.270	27.268	0.769	0.758
129	129-062A	27.788	24.242	29.400	1.056	1.054
129	129-062B	26.405	22.751	27.013	0.912	0.716
129	129-055A	28.087	24.815	28.734	1.742	1.803
129	129-055B	29.507	25.358	29.652	1.857	1.559
129	129-057A	25.532	21.813	24.912	1.341	0.980
129	129-057B	26.525	22.164	25.446	1.541	1.130
129	129-059A	26.046	23.487	28.457	0.768	1.029
129	129-059B	27.040	24.517	28.689	0.951	0.925
129	129-058A	26.880	23.842	26.327	1.984	1.702
129	129-058B	26.353	23.524	26.298	1.640	1.872
129	129-061A	27.831	24.850	26.129	0.831	0.852
129	129-061B	27.877	24.554	26.511	0.959	0.909
129	129-078A	25.094	22.293	24.270	1.128	1.131
129	129-078B	24.128	21.928	24.124	1.182	1.015
129	129-075A	23.334	19.430	26.651	0.725	0.567
129	129-075B	24.697	20.794	27.668	0.871	0.831
129	129-079A	27.429	24.225	26.778	1.648	1.673
129	129-079B	28.334	23.964	27.631	1.846	1.725
129	129-070A	25.179	22.656	26.464	1.449	1.495
129	129-070B	NA	21.911	NA	0.929	0.958
129	129-128A	30.446	25.364	32.725	1.850	1.726
129	129-128B	28.116	23.883	31.468	1.459	1.798
129	129-089A	25.641	22.543	30.790	1.350	1.315
129	129-089B	26.603	22.259	30.575	1.405	1.139
129	129-081A	24.412	20.719	29.045	1.064	0.732
129	129-081B	23.907	21.235	28.547	0.870	0.930
129	129-083A	26.124	21.591	30.623	1.186	1.446
129	129-083B	24.721	21.165	30.162	1.113	1.089
129	129-085A	26.570	23.972	26.801	1.632	1.659
129	129-085B	26.740	23.738	29.224	2.084	2.030
129	129-088A	24.885	21.000	27.024	1.153	1.060
129	129-088B	24.335	20.624	28.087	1.131	1.059
129	129-103A	27.001	23.539	29.914	1.545	1.232
